############################################################
# Chord csv data source format:
# type,root,shortName,longName,fingerData,fretData
############################################################
# STATIC CHORDS
Movable,E,E/G#,E Major on G# (1st inv.),0 0 4 1 3 2,-1 -1 6 4 5 4
Movable,G,G7sus4,G Dominant 7th Suspended 4th,0 0 1 3 2 4,-1 -1 5 7 6 8
Movable,G,Gsus2,G Suspended 2nd,0 0 1(-6) 3 4 1,-1 -1 5 7 8 5
Movable,G,Gadd9,G Added 9th,0 0 3 2 1 4,-1 -1 5 4 3 5
Movable,G,Gm(maj7),G Minor (Major 7th),0 0 1 3 4 2,-1 -1 5 7 7 6
Movable,G,G7b9,G Dominant 7th Flattened 9th,0 0 2 1(-6) 3 1,-1 -1 5 4 6 4
Movable,G,G5,G Powerchord (no third),0 0 1 3 4 0,-1 -1 5 7 8 -1
Movable,G,Gaug,G Augmented (G#5 G+),0 0 4 2 3 1,-1 -1 5 4 4 3
Movable,G,Gmaj7,G Major 7th,0 0 4 3 2 1,-1 -1 5 4 3 2
Movable,G,Gsus4,G Suspended 4th,0 0 1 3 4(-6) 4,-1 -1 5 7 8 8
Movable,G,G7,G Dominant 7th,0 0 1 3 2 4,-1 -1 5 7 6 7
Movable,G,Gm7,G Minor 7th,0 0 1 4 2 3,-1 -1 5 7 6 6
Movable,G,Gm,G Minor,0 0 1 3 4 2,-1 -1 5 7 8 6
Movable,G,Gdim7,G Diminished 7th,0 0 1(-5) 2 1 3,-1 -1 5 6 5 6
Movable,G,Gmadd9,G Minor Added 9th,0 0 3 1(-5) 1 4,-1 -1 5 3 3 5
